id,vic_lga__2,vic_lga__5
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.1,FALLS CREEK ALPINE RESORT (UNINCORPORATED),
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.2,MOUNT BULLER ALPINE RESORT (UNINCORPORATED),0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.3,CORANGAMITE SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.4,KINGSTON CITY,43.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.5,FRANKSTON CITY,80.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.6,GOLDEN PLAINS SHIRE,2.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.7,MOIRA SHIRE,6.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.8,INDIGO SHIRE,2.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.9,WODONGA CITY,1.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.10,DAREBIN CITY,121.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.11,MAROONDAH CITY,3.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.12,WEST WIMMERA SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.13,MARIBYRNONG CITY,53.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.14,HOBSONS BAY CITY,122.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.15,MANNINGHAM CITY,5.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.16,WHITEHORSE CITY,4.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.17,BOROONDARA CITY,4.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.18,KNOX CITY,6.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.19,MONASH CITY,8.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.20,YARRA CITY,6.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.21,STONNINGTON CITY,3.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.22,MURRINDINDI SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.23,HINDMARSH SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.24,BASS COAST SHIRE,3.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.25,GREATER SHEPPARTON CITY,2.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.26,BASS COAST SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.27,MOORABOOL SHIRE,1.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.28,BALLARAT CITY,20.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.29,BASS COAST SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.30,HEPBURN SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.31,MOUNT ALEXANDER SHIRE,2.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.32,CENTRAL GOLDFIELDS SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.33,BULOKE SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.34,GANNAWARRA SHIRE,17.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.35,MILDURA RURAL CITY,1.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.36,STRATHBOGIE SHIRE,0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.37,ALPINE SHIRE,1.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.38,SURF COAST SHIRE,2.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.39,GREATER GEELONG CITY,53.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.40,BENALLA RURAL CITY,7.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.41,Merri-Bek,34.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.42,MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED),0.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.43,MOONEE VALLEY CITY,5.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.44,WANGARATTA RURAL CITY,21.0
ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.45,WYNDHAM CITY,20.0
